 0.10000000E+02   0.20083724E+00   0.20054037E+00   0.19952456E+00
 0.20000000E+02   0.20109088E+00   0.20066805E+00   0.19944067E+00
 0.30000000E+02   0.20122670E+00   0.20076844E+00   0.19943952E+00
 0.40000000E+02   0.20131282E+00   0.20084855E+00   0.19946961E+00
 0.50000000E+02   0.20137314E+00   0.20091292E+00   0.19951358E+00
 0.60000000E+02   0.20141830E+00   0.20096568E+00   0.19956370E+00
 0.70000000E+02   0.20145381E+00   0.20101014E+00   0.19961602E+00
 0.80000000E+02   0.20148280E+00   0.20104870E+00   0.19966848E+00
 0.90000000E+02   0.20150719E+00   0.20108311E+00   0.19971999E+00
 0.10000000E+03   0.20152823E+00   0.20111460E+00   0.19976994E+00
 0.11000000E+03   0.20154675E+00   0.20114405E+00   0.19981803E+00
 0.12000000E+03   0.20156334E+00   0.20117212E+00   0.19986412E+00
 0.13000000E+03   0.20157844E+00   0.20119924E+00   0.19990814E+00
 0.14000000E+03   0.20159235E+00   0.20122575E+00   0.19995013E+00
 0.15000000E+03   0.20160532E+00   0.20125186E+00   0.19999012E+00
 0.16000000E+03   0.20161752E+00   0.20127772E+00   0.20002821E+00
 0.17000000E+03   0.20162909E+00   0.20130346E+00   0.20006448E+00
 0.18000000E+03   0.20164014E+00   0.20132915E+00   0.20009903E+00
 0.19000000E+03   0.20165076E+00   0.20135485E+00   0.20013199E+00
 0.20000000E+03   0.20166101E+00   0.20138058E+00   0.20016344E+00
 0.21000000E+03   0.20167096E+00   0.20140637E+00   0.20019350E+00
 0.22000000E+03   0.20168065E+00   0.20143222E+00   0.20022227E+00
 0.23000000E+03   0.20169012E+00   0.20145814E+00   0.20024984E+00
 0.24000000E+03   0.20169939E+00   0.20148412E+00   0.20027631E+00
 0.25000000E+03   0.20170851E+00   0.20151014E+00   0.20030176E+00
 0.26000000E+03   0.20171750E+00   0.20153621E+00   0.20032626E+00
 0.27000000E+03   0.20172637E+00   0.20156230E+00   0.20034989E+00
 0.28000000E+03   0.20173515E+00   0.20158841E+00   0.20037272E+00
 0.29000000E+03   0.20174386E+00   0.20161453E+00   0.20039480E+00
 0.30000000E+03   0.20175251E+00   0.20164063E+00   0.20041620E+00
 0.31000000E+03   0.20176112E+00   0.20166672E+00   0.20043696E+00
 0.32000000E+03   0.20176970E+00   0.20169277E+00   0.20045712E+00
 0.33000000E+03   0.20177826E+00   0.20171879E+00   0.20047674E+00
 0.34000000E+03   0.20178681E+00   0.20174476E+00   0.20049585E+00
 0.35000000E+03   0.20179538E+00   0.20177067E+00   0.20051448E+00
 0.36000000E+03   0.20180396E+00   0.20179651E+00   0.20053267E+00
 0.37000000E+03   0.20181257E+00   0.20182228E+00   0.20055045E+00
 0.38000000E+03   0.20182120E+00   0.20184797E+00   0.20056785E+00
 0.39000000E+03   0.20182989E+00   0.20187357E+00   0.20058488E+00
 0.40000000E+03   0.20183862E+00   0.20189909E+00   0.20060158E+00
 0.41000000E+03   0.20184740E+00   0.20192451E+00   0.20061795E+00
 0.42000000E+03   0.20185624E+00   0.20194983E+00   0.20063404E+00
 0.43000000E+03   0.20186514E+00   0.20197505E+00   0.20064984E+00
 0.44000000E+03   0.20187412E+00   0.20200017E+00   0.20066538E+00
 0.45000000E+03   0.20188316E+00   0.20202518E+00   0.20068067E+00
 0.46000000E+03   0.20189229E+00   0.20205008E+00   0.20069572E+00
 0.47000000E+03   0.20190149E+00   0.20207485E+00   0.20071056E+00
 0.48000000E+03   0.20191078E+00   0.20209951E+00   0.20072518E+00
 0.49000000E+03   0.20192015E+00   0.20212404E+00   0.20073960E+00
 0.50000000E+03   0.20192961E+00   0.20214845E+00   0.20075384E+00
