    1   1.00000000E-01   1.00000000E+01
    2   3.00000000E-01   1.00000000E+01
    3   5.00000000E-01   1.00000000E+01
    4   7.00000000E-01   1.00000000E+01
    5   9.00000000E-01   1.00000000E+01
    6   1.10000000E+00   1.00000000E+01
    7   1.30000000E+00   1.00000000E+01
    8   1.50000000E+00   1.00000000E+01
    9   1.70000000E+00   1.00000000E+01
   10   1.90000000E+00   1.00000000E+01
   11   2.10000000E+00   1.00000000E+01
   12   2.30000000E+00   9.99999999E+00
   13   2.50000000E+00   9.99999997E+00
   14   2.70000000E+00   9.99999992E+00
   15   2.90000000E+00   9.99999980E+00
   16   3.10000000E+00   9.99999951E+00
   17   3.30000000E+00   9.99999882E+00
   18   3.50000000E+00   9.99999723E+00
   19   3.70000000E+00   9.99999366E+00
   20   3.90000000E+00   9.99998582E+00
   21   4.10000000E+00   9.99996904E+00
   22   4.30000000E+00   9.99993402E+00
   23   4.50000000E+00   9.99986270E+00
   24   4.70000000E+00   9.99972107E+00
   25   4.90000000E+00   9.99944673E+00
   26   5.10000000E+00   9.99892844E+00
   27   5.30000000E+00   9.99797339E+00
   28   5.50000000E+00   9.99625688E+00
   29   5.70000000E+00   9.99324781E+00
   30   5.90000000E+00   9.98810285E+00
   31   6.10000000E+00   9.97952268E+00
   32   6.30000000E+00   9.96556620E+00
   33   6.50000000E+00   9.94342402E+00
   34   6.70000000E+00   9.90916066E+00
   35   6.90000000E+00   9.85744709E+00
   36   7.10000000E+00   9.78131912E+00
   37   7.30000000E+00   9.67201186E+00
   38   7.50000000E+00   9.51893172E+00
   39   7.70000000E+00   9.30983182E+00
   40   7.90000000E+00   9.03124925E+00
   41   8.10000000E+00   8.66924038E+00
   42   8.30000000E+00   8.21041267E+00
   43   8.50000000E+00   7.64320087E+00
   44   8.70000000E+00   6.95927966E+00
   45   8.90000000E+00   6.15495371E+00
   46   9.10000000E+00   5.23233276E+00
   47   9.30000000E+00   4.20009496E+00
   48   9.50000000E+00   3.07367216E+00
   49   9.70000000E+00   1.87475731E+00
   50   9.90000000E+00   6.30126680E-01
